MID,NAME,ALTNAME,ADDRESS,CITY,STATE,ZIP,ZIP5,ZIP4,PHONE,WEBURL
8400100431,CHILDRENS MUSEUM OF THE SHOALS INC,CHILDREN'S MUSEUM OF  SHOALS,2810 DARBY DR,FLORENCE,AL,35630-1524,35630,1524,2567650500,http://www.shoalschildrensmuseum.org
8402500664,SHIRLEY-EUSTIS HOUSE ASSOCIATION,SHIRLEY-EUSTIS HOUSE,33 SHIRLEY ST,ROXBURY,MA,02119-2725,2119,2725,6174422275,http://www.shirleyeustishouse.org
8401200746,ARTS ON THE PARK,ARTS ON THE PARK,115 N KENTUCKY AVE,LAKELAND,FL,33801-5044,33801,5044,8636802787,http://www.shirinart.com
8404200945,SHIPPENSBURG HISTORICAL SOCIETY,SHIPPENSBURG HISTORICAL SOCIETY,52 W KING ST,SHIPPENSBURG,PA,17257-1212,17257,1212,7175326727,http://www.shippensburghistory.org
8405400042,BICE FERGUSON MEMORIAL MUSEUM,,400 PIKE ST,SHINNSTON,WV,26431,26431,,3045921942,http://www.shinnstonwv.com
8400602777,NORTH HOLLYWOOD HIGH SCHOOL ANIMAL STUDIES/BIOLOGICAL SCIENC,,5336 CRYSTAL SPRINGS DRIVE,LOS ANGELES,CA,90027,90027,,,zoomagnet.org
8403400226,ZOOLOGICAL SOCIETY OF NEW JERSEY,ZOOLOGICAL SOCIETY OF NEW JERSEY,560 NORTHFIELD AVE,WEST ORANGE,NJ,07052-2431,7052,2431,,zoologicalsocietyofnj.com/
8403900618,YELLOW SPRINGS HISTORICAL SOCIETY,,PO BOX 501,YELLOW SPRINGS,OH,45387,45387,,5137677516,yshistory.org
8400601168,YANKEE HILL HISTORICAL SOCIETY,,PO BOX 4031,YANKEE HILL,CA,95965,95965,,,yankeehillhistory.com
8403700659,YADKIN RIVER GREENWAY COUNCIL,YADKIN RIVER GREENWAY COUNCIL,717 MAIN ST,NORTH WILKESB,NC,28659,28659,,3366518967,yadkinrivergreenway.com
8404000161,WYNNEWOOD HISTORICAL SOCIETY,,114 E KERR BLVD,WYNNEWOOD,OK,73098,73098,,,wynnewoodhistoricalsociety.com
8400900176,NATIONAL HELICOPTER MUSEUM INC,NATIONAL HELICOPTER MUSEUM,PO BOX 775,STRATFORD,CT,6615,6615,,2033758857,Wwwnationalhelicoptermuseum.com
8402700222,MAZEPPA AREA HISTORICAL SOCIETY,,124 1ST AVE S,MAZEPPA,MN,55956,55956,,,wwwmazeppahistoricalsociety.org
8403900745,HOLLAND SPRINGFIELD SPENCER HISTORICAL SOCIETY,,PO BOX 745,HOLLAND,OH,43528,43528,,,wwwhsshs.org
8405500289,FRIENDS OF THE NEW LONDON PUBLIC MUSEUM INC,NEW LONDON PUBLIC MUSEUM,406 S PEARL ST,NEW LONDON,WI,54961,54961,,,wwwfnlpm.org
8400602697,SEARLES VALLEY HISTORICAL SOCIETY,SEARLES VALLEY HISTORICAL SOCIETY,PO BOX 630,TRONA,CA,93592,93592,,7603725222,www1.iwvisp.com/svhs
8403601876,LOWER LAKES MARINE HISTORICAL SOCIETY,LOWER LAKES MARINE HISTORICAL SOCIETY,66 ERIE ST,BUFFALO,NY,14202,14202,,7168490914,www/llmhs.org
8403700775,CHAPEL HILL HISTORICAL SOCIETY INC,,PO BOX 9032,CHAPEL HILL,NC,27515,27515,,,www/chapelhillhistoricalsociety.org
8404201009,BRINTON ASSOCIATION OF AMERICA INC,WILLIAM BRINTON 1704 HOUSE AND HISTORIC SITE,21 OAKLAND RD,WEST CHESTER,PA,19382-8351,19382,8351,,www/brintonfamily.org
8402500454,COMMONWEALTH ZOOLOGICAL CORPORATION,COMMONWEALTH ZOOLOGICAL,1 FRANKLIN PARK RD,BOSTON,MA,02121-3252,2121,3252,6179892000,www.zoonewengland.org
8405500731,THE BOARD OF REGENTS OF THE UNIVERSITY,UNIVERSITY OF WISCONSIN,21 N PARK ST,MADISON,WI,53715-1218,53715,1218,6082623766,www.zoology.wisc.edu/uwzm/
8405000244,SHREWSBURY HISTORICAL SOCIETY INC,SHREWSBURY HISTORIAL SOCIETY,5419 ROUTE 103,CUTTINGSVILLE,VT,5738,5738,,8024922175,WWW.SHREWSBURYHISTORICALSOCIETY.COM
8402400590,MONTPELIER MANSION,MONTPELIER MANSION,9650 MUIRKIRK ROAD,LAUREL,MD,20708,20708,,3013777817,www.pgparks.com/Things_To_Do/History/Montpelier_Mansion/htm
8400602513,PATTERSON HOUSE MUSEUM,PATTERSON HOUSE MUSEUM,34600 ARDENWOOD BLVD.,FREEMONT,CA,94555,94555,,5107914196,www.fremont.gov/index.aspx?NID=293
8402500751,FRELINGHUYSEN MORRIS HOUSE AND STUDIO,FRELINGHUYSEN MORRIS HOUSE AND STUDIO,,LENOX,MA,01240-2256,1240,2256,4136370166,www.frelinghuysen.org
8402900177,WEBB CITY HISTORICAL SOCIETY,,PO BOX 1,WEBB CITY,MO,64870,64870,,4176735866,www.freewebs.com/webbcityhistoricals
8403900472,SEVEN HILLS HISTORICAL SOCIETY,,7325 SUMMITVIEW DR,SEVEN HILLS,OH,44131-4413,44131,4413,,WWW.FREEWEBS.COM/7HILLSHISTORY
8401700175,GRAND ARMY-REPUBLIC MEMORIAL,,23 E DOWNER PL,AURORA,IL,60505,60505,,6308977221,https://secure2.convio.net/nthp/site/Donation2?idb=1503566641&df_id=4540&4540.donation=form1
